Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,85,80,161,322,676,2474,2738,3464
Australia,148,232,516,1134,1088,3138,2163,1581
Austria,399,226,378,545,1666,3197,2022,1567
Belarus,9,14,32,115,549,1611,2309,5361
Belgium,270,244,472,865,1525,2590,1940,2094
Bolivia,11,18,60,175,572,1766,2368,5030
Brazil,188,172,295,465,811,2289,2341,3439
Bulgaria,8,27,82,210,706,1977,2390,4600
Canada,409,337,601,1069,1463,2911,1807,1403
Chile,55,89,280,542,1233,2603,2382,2816
China,109,122,225,538,1134,2669,2649,2554
Chinese Taipei,664,523,832,1266,1686,2312,1484,1233
Colombia,2,14,36,122,485,1533,2375,5433
Costa Rica,23,48,151,363,725,2130,2471,4089
Croatia,30,37,115,238,604,2061,2654,4261
Cyprus,18,39,88,216,490,1665,2508,4976
Czech Republic,38,91,234,635,1125,1925,2194,3758
Denmark,440,290,422,712,1084,2011,1932,3109
Dominican Republic,14,19,76,151,702,2223,2739,4076
Ecuador,51,68,172,341,1563,2532,2339,2934
El Salvador,8,19,66,219,560,1640,2320,5168
England,31,52,88,153,731,2206,2713,4026
Estonia,37,88,212,568,1342,2262,2167,3324
Finland,77,120,228,565,1168,2779,2517,2546
France,856,765,1391,2249,1208,1545,1032,954
Germany,517,370,676,1105,3010,2253,1166,903
Greece,139,163,363,825,1981,1924,1828,2777
Guatemala,25,46,89,248,1183,1881,2279,4249
Hong Kong,149,161,311,630,1167,2076,2056,3450
Hungary,25,48,95,303,587,1701,2139,5102
Iceland,3,13,40,100,308,1345,2359,5832
Indonesia,61,101,226,483,1256,2210,2300,3363
Ireland,36,62,143,353,813,2130,2446,4017
Israel,18,23,55,167,860,1854,2235,4788
Italy,287,309,565,1025,2115,2872,1675,1152
Japan,509,391,604,994,2022,2947,1474,1059
Latvia,41,31,114,294,677,1678,2225,4940
Lithuania,38,73,172,433,940,1754,2152,4438
Luxembourg,52,70,197,463,1102,2579,2446,3091
Macedonia,27,62,150,446,1134,2635,2562,2984
Malaysia,266,280,480,882,1730,2994,1924,1444
Malta,8,15,57,144,461,1626,2503,5186
Mexico,317,267,495,897,1381,2103,1908,2632
Netherlands,686,533,955,1553,1240,2299,1426,1308
New Zealand,338,329,603,1094,1224,2411,1864,2137
Northern Ireland,30,42,85,215,939,1880,2288,4521
Norway,11,22,62,179,717,2015,2512,4482
Panama,45,70,181,400,1131,2216,2323,3634
Paraguay,9,21,61,134,429,1654,2355,5337
Peru,22,30,82,208,761,2033,2557,4307
Philippines,58,69,239,688,1156,2186,1990,3614
Poland,327,206,414,621,1933,1968,1820,2711
Portugal,262,343,704,1252,2537,2524,1318,1060
Puerto Rico,21,32,71,150,609,1938,2627,4552
Romania,6,18,47,117,462,1448,2238,5664
Russian Federation,62,73,188,491,1335,1873,2103,3875
Scotland,55,81,137,304,967,1930,2210,4316
Serbia,55,97,220,619,1157,2422,2315,3115
Singapore,19,66,206,667,1794,2720,2276,2252
Slovakia,195,186,377,764,1224,2283,2003,2968
Slovenia,36,51,122,251,1181,2126,2305,3928
South Africa,9,14,40,135,495,1648,2272,5387
South Korea,43,60,175,509,607,1623,2081,4902
Spain,72,68,169,355,1095,2134,2428,3679
Sweden,207,191,342,625,1524,2599,2190,2322
Switzerland,342,373,774,1335,1233,2877,1699,1367
Thailand,41,81,171,406,1155,2498,2453,3195
Turkey,41,75,187,421,1168,2556,2482,3070
Ukraine,62,74,160,382,951,1949,2237,4185
United States,332,376,722,1421,938,2489,1838,1884
Uruguay,69,93,209,445,975,2232,2306,3671
Venezuela,11,30,92,287,415,2016,2650,4499
Wales,36,77,160,402,1025,2842,2603,2855
