Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,106,116,252,503,885,3408,2612,2118
Australia,167,191,355,725,672,3197,2674,2019
Austria,211,303,705,1451,986,2354,1838,2152
Belarus,9,14,55,122,535,1567,2203,5495
Belgium,194,286,542,1051,1402,2483,1885,2157
Bolivia,9,17,49,129,488,1501,2132,5675
Brazil,232,219,471,734,2381,2476,1776,1711
Bulgaria,5,17,36,134,475,1843,2592,4898
Canada,432,447,837,1574,2113,1681,1363,1553
Chile,57,110,289,663,951,2460,2425,3045
China,72,124,322,745,1301,2788,2403,2245
Chinese Taipei,490,496,847,1455,1550,2334,1492,1336
Colombia,1,15,33,98,396,1493,2245,5719
Costa Rica,18,28,65,160,701,1825,2603,4600
Croatia,124,133,229,412,2299,2179,2033,2591
Cyprus,7,22,39,156,452,1423,2205,5696
Czech Republic,98,136,326,709,1329,2559,2124,2719
Denmark,322,408,923,1814,1362,2202,1506,1463
Dominican Republic,17,28,89,335,474,1600,2128,5329
Ecuador,70,77,192,510,1011,2054,2306,3780
El Salvador,13,29,71,179,633,1521,2108,5446
England,119,135,326,630,2551,1387,1454,3398
Estonia,13,44,119,347,1135,2592,2649,3101
Finland,94,191,368,785,1155,2245,1985,3177
France,1312,598,786,1037,2048,2080,1172,967
Germany,406,373,536,826,2250,2883,1590,1136
Greece,21,29,89,222,731,2256,2738,3914
Guatemala,28,51,121,286,1166,1660,2047,4641
Hong Kong,37,60,106,249,953,2394,2545,3656
Hungary,9,22,73,184,502,2066,2798,4346
Iceland,36,43,102,252,1309,1810,2074,4374
Indonesia,30,48,152,397,1304,2257,2275,3537
Ireland,40,71,165,417,831,2486,2626,3364
Israel,9,26,56,135,413,1722,2653,4986
Italy,181,257,511,944,1634,3044,1961,1468
Japan,461,408,693,1187,882,3413,1846,1110
Latvia,9,26,58,184,698,2025,2574,4426
Lithuania,16,47,128,285,757,1445,1819,5503
Luxembourg,137,235,507,1053,1830,2351,1947,1940
Macedonia,5,19,57,198,423,1771,2654,4873
Malaysia,192,228,468,865,1459,2946,2135,1707
Malta,12,46,107,349,1095,1928,2192,4271
Mexico,116,207,464,1110,1458,2284,2033,2328
Netherlands,205,281,563,1200,693,3251,2195,1612
New Zealand,547,472,782,1273,1427,2112,1550,1837
Northern Ireland,11,38,95,274,820,2343,2711,3708
Norway,10,15,57,136,503,1774,2618,4887
Panama,43,83,162,395,963,2342,2416,3596
Paraguay,7,22,69,163,452,1699,2390,5198
Peru,15,37,82,214,681,2155,2641,4175
Philippines,92,103,303,573,1272,2490,2235,2932
Poland,385,252,422,598,1052,2299,2056,2936
Portugal,1346,591,731,968,1495,2267,1468,1134
Puerto Rico,14,23,60,153,575,1811,2492,4872
Romania,6,15,25,103,419,1380,2213,5839
Russian Federation,35,47,137,336,637,2374,2734,3700
Scotland,51,56,143,288,1175,2291,2467,3529
Serbia,55,53,157,375,515,1703,2283,4859
Singapore,47,58,143,378,663,1519,1841,5351
Slovakia,138,172,358,717,2182,3152,1987,1294
Slovenia,11,21,71,200,662,2180,2565,4290
South Africa,6,15,33,123,471,1520,2274,5558
South Korea,35,64,164,387,1172,2623,2569,2986
Spain,93,133,292,702,1219,2245,2228,3088
Sweden,82,111,246,523,678,2672,2598,3090
Switzerland,145,134,301,520,3170,2076,1623,2031
Thailand,18,39,114,294,743,2288,2707,3797
Turkey,33,60,201,445,766,2196,2426,3873
Ukraine,25,46,145,420,1323,2335,2360,3346
United States,478,457,874,1285,2042,2869,1312,683
Uruguay,26,57,182,485,937,2272,2371,3670
Venezuela,47,80,188,496,1206,1847,2114,4022
Wales,57,85,181,375,1107,1922,2136,4137
