Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,71,121,335,762,3278,2158,1653,1622
Australia,150,190,362,720,1324,3496,2303,1455
Austria,344,357,604,1042,1342,2245,1830,2236
Belarus,2,15,39,129,381,1544,2349,5541
Belgium,241,231,472,809,1216,2604,2083,2344
Bolivia,2,13,35,92,480,1596,2356,5426
Brazil,215,210,401,714,1928,2239,1878,2415
Bulgaria,7,13,50,155,565,1683,2283,5244
Canada,461,421,777,1402,860,2578,1792,1709
Chile,78,85,209,417,1108,2424,2457,3222
China,163,178,374,771,785,2618,2390,2721
Chinese Taipei,185,179,330,593,2396,2901,1885,1531
Colombia,1,13,50,128,418,1446,2205,5739
Costa Rica,43,63,165,410,934,2523,2493,3369
Croatia,49,45,123,299,640,2586,2741,3517
Cyprus,7,30,80,281,506,1441,1951,5704
Czech Republic,28,54,163,499,1413,2069,2147,3627
Denmark,281,276,562,1068,1727,2085,1781,2220
Dominican Republic,9,32,80,256,613,1591,2153,5266
Ecuador,78,110,292,653,1189,2508,2274,2896
El Salvador,7,22,60,130,532,1747,2430,5072
England,170,202,356,817,1333,2617,2182,2323
Estonia,25,28,111,260,633,2651,2910,3382
Finland,153,173,352,706,1755,2747,2033,2081
France,909,559,952,1424,2042,2053,1115,946
Germany,550,452,778,1209,1205,2547,1775,1484
Greece,37,43,133,228,866,2729,3006,2958
Guatemala,28,48,135,270,791,2500,2664,3564
Hong Kong,51,100,261,625,1447,1183,1453,4880
Hungary,8,9,50,139,367,1706,2472,5249
Iceland,14,32,86,274,1081,2548,2561,3404
Indonesia,27,61,146,325,625,1839,2392,4585
Ireland,40,67,148,325,1072,2285,2440,3623
Israel,9,25,56,145,580,1467,2076,5642
Italy,273,269,541,966,1557,2867,1915,1612
Japan,635,569,926,1463,1515,2506,1479,907
Latvia,40,85,229,653,886,2338,2417,3352
Lithuania,27,27,100,309,975,1703,2159,4700
Luxembourg,43,73,219,490,1628,2523,2425,2599
Macedonia,20,50,119,259,694,1812,2317,4729
Malaysia,338,360,565,1069,1920,2383,1707,1658
Malta,10,30,55,154,635,1792,2354,4970
Mexico,300,216,341,491,1975,2643,2160,1874
Netherlands,266,381,823,1870,1014,2718,1537,1391
New Zealand,562,377,593,992,2420,2193,1472,1391
Northern Ireland,12,38,68,200,452,1721,2421,5088
Norway,7,12,44,164,572,1660,2344,5197
Panama,44,61,133,333,917,2265,2544,3703
Paraguay,8,22,50,129,426,1607,2359,5399
Peru,30,47,100,265,690,1784,2264,4820
Philippines,51,107,311,921,1589,2195,2092,2734
Poland,582,481,844,1409,2586,2128,1137,833
Portugal,380,195,351,525,1405,2910,2212,2022
Puerto Rico,17,30,83,198,572,1693,2267,5140
Romania,4,15,37,116,383,1451,2307,5687
Russian Federation,25,39,118,342,965,2144,2416,3951
Scotland,23,44,67,167,586,1796,2545,4772
Serbia,32,54,110,218,767,1403,1843,5573
Singapore,127,104,183,332,408,1618,2052,5176
Slovakia,364,304,547,852,1237,2759,2101,1836
Slovenia,142,147,268,502,418,3183,2971,2369
South Africa,10,17,44,123,473,1520,2294,5519
South Korea,27,63,174,556,1482,2058,2198,3442
Spain,52,63,177,352,822,3249,2974,2311
Sweden,133,178,435,1020,1584,2107,1929,2614
Switzerland,364,399,745,1383,1307,1863,1692,2247
Thailand,20,41,121,327,701,2481,2681,3628
Turkey,19,44,117,348,764,1997,2390,4321
Ukraine,37,55,122,277,1016,2653,2702,3138
United States,402,376,689,1091,2162,1943,1500,1837
Uruguay,41,55,144,324,1256,1876,2166,4138
Venezuela,18,47,137,427,846,3728,2956,1841
Wales,72,68,143,306,963,1776,2188,4484
