Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,52,106,286,751,1152,2229,2120,3304
Australia,200,142,252,414,1390,2483,2208,2911
Austria,270,274,420,829,666,2546,2271,2724
Belarus,6,14,37,128,431,1628,2432,5324
Belgium,197,248,497,961,1793,2387,1891,2026
Bolivia,5,15,41,136,499,1636,2370,5298
Brazil,706,362,528,779,901,898,1264,4562
Bulgaria,10,19,68,166,587,1840,2494,4816
Canada,642,542,983,1668,1300,2690,1270,905
Chile,78,110,249,563,1123,2506,2311,3060
China,141,153,299,615,1279,2709,2382,2422
Chinese Taipei,435,430,718,1145,2132,2175,1540,1425
Colombia,3,13,33,120,430,1507,2346,5548
Costa Rica,86,76,221,434,778,2578,2671,3156
Croatia,19,23,67,151,608,2041,2717,4374
Cyprus,7,25,71,204,427,1708,2555,5003
Czech Republic,99,134,268,537,1194,963,1261,5544
Denmark,212,260,533,930,1612,2964,1922,1567
Dominican Republic,7,18,77,192,724,1737,2162,5083
Ecuador,62,97,185,403,874,2580,2699,3100
El Salvador,21,28,97,257,837,1767,2242,4751
England,147,162,390,872,1412,998,1283,4736
Estonia,43,96,186,445,1342,2124,2155,3609
Finland,144,148,268,468,1796,2158,1957,3061
France,804,642,1145,1950,1460,2346,1024,629
Germany,499,258,472,716,1574,2744,1912,1825
Greece,55,91,171,370,730,2419,2791,3373
Guatemala,10,34,91,207,653,1963,2518,4524
Hong Kong,72,96,196,376,1136,3228,2858,2038
Hungary,5,15,55,149,624,1358,2047,5747
Iceland,52,48,116,271,1497,1815,2073,4128
Indonesia,38,77,143,394,791,2214,2454,3889
Ireland,34,62,146,388,865,2280,2399,3826
Israel,17,27,117,311,580,2461,2791,3696
Italy,258,238,520,951,2216,2299,1767,1751
Japan,576,450,678,1092,2169,3495,1144,396
Latvia,51,56,130,270,661,1595,2160,5077
Lithuania,37,58,125,249,787,1911,2428,4405
Luxembourg,142,139,276,546,1913,1927,1855,3202
Macedonia,61,62,148,280,1261,2572,2534,3082
Malaysia,167,214,442,822,1057,2761,2277,2260
Malta,11,25,82,181,593,1737,2358,5013
Mexico,45,69,187,356,909,2049,2190,4195
Netherlands,261,375,850,1730,1140,2672,1603,1369
New Zealand,471,325,527,902,1585,2632,1857,1701
Northern Ireland,9,25,74,253,673,2263,2684,4019
Norway,4,13,38,89,593,1771,2474,5018
Panama,49,70,176,414,915,2534,2556,3286
Paraguay,8,21,59,157,643,2001,2562,4549
Peru,16,30,77,273,766,1936,2374,4528
Philippines,87,142,320,751,2054,2400,2024,2222
Poland,228,320,618,1335,1870,2742,1625,1262
Portugal,392,556,1179,2570,878,2468,1215,742
Puerto Rico,12,24,58,146,583,1671,2331,5175
Romania,6,17,41,119,426,1533,2450,5408
Russian Federation,24,49,116,288,895,2137,2606,3885
Scotland,27,49,158,472,1184,2517,2509,3084
Serbia,23,38,101,247,573,2413,2879,3726
Singapore,42,57,147,316,1101,1669,2087,4581
Slovakia,284,259,474,818,1483,2925,2017,1740
Slovenia,44,69,142,350,746,2784,3255,2610
South Africa,8,15,41,128,458,1548,2346,5456
South Korea,20,62,130,354,518,2180,2486,4250
Spain,105,159,341,708,1573,2961,2170,1983
Sweden,269,216,347,566,1886,2537,2043,2136
Switzerland,430,310,557,946,2010,2264,1701,1782
Thailand,22,51,124,331,826,2767,2809,3070
Turkey,24,41,140,356,970,2737,2845,2887
Ukraine,120,174,397,901,1976,2235,1949,2248
United States,392,218,364,513,2338,2230,1798,2147
Uruguay,32,48,130,289,823,2089,2434,4155
Venezuela,20,36,88,193,848,1835,2355,4625
Wales,45,75,172,438,903,1523,1853,4991
