Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,129,161,305,554,995,3861,2502,1493
Australia,325,227,413,657,1295,2428,2085,2570
Austria,314,374,908,1826,2070,1994,1344,1170
Belarus,5,10,42,97,383,1325,2102,6036
Belgium,177,244,421,846,1505,2527,2114,2166
Bolivia,10,28,53,139,518,1598,2353,5301
Brazil,184,326,661,1541,1461,961,1323,3543
Bulgaria,13,31,76,169,618,1659,2293,5141
Canada,514,517,925,1595,2427,2374,1090,558
Chile,54,91,195,432,1074,2472,2570,3112
China,61,87,206,443,1093,2436,2408,3266
Chinese Taipei,269,215,348,597,1762,1942,1936,2931
Colombia,6,11,29,108,380,1436,2280,5750
Costa Rica,35,84,165,396,1176,2282,2389,3473
Croatia,37,66,167,492,1825,2980,2606,1827
Cyprus,13,24,98,343,399,1812,2532,4779
Czech Republic,42,87,274,808,1229,2417,2358,2785
Denmark,249,315,629,1209,994,3067,2053,1484
Dominican Republic,35,47,153,263,842,2219,2617,3824
Ecuador,79,102,218,463,990,1884,2317,3947
El Salvador,6,13,35,128,497,1693,2411,5217
England,29,53,192,453,1471,3596,2557,1649
Estonia,34,56,105,253,681,2261,2695,3915
Finland,234,236,477,799,856,2047,2131,3220
France,951,492,657,824,2805,1623,1161,1487
Germany,588,452,773,1168,1489,2337,1674,1519
Greece,59,97,179,371,838,1726,2017,4713
Guatemala,55,70,151,315,755,1679,2065,4910
Hong Kong,75,140,425,1030,1506,2799,2195,1830
Hungary,10,20,70,220,897,1549,2058,5176
Iceland,46,54,153,263,456,2612,2937,3479
Indonesia,41,60,158,392,1001,1853,2226,4269
Ireland,37,74,170,396,824,1960,2258,4281
Israel,14,25,97,230,812,2696,2975,3151
Italy,259,302,501,931,1645,2417,1981,1964
Japan,649,487,776,1238,2471,2281,1189,909
Latvia,41,62,132,331,839,2023,2399,4173
Lithuania,47,80,206,536,1323,1692,1795,4321
Luxembourg,112,134,271,581,967,1947,2085,3903
Macedonia,7,12,44,146,386,1461,2216,5728
Malaysia,340,321,548,932,1365,2677,2057,1760
Malta,7,16,53,159,625,1640,2237,5263
Mexico,127,145,310,544,1512,3300,2344,1718
Netherlands,134,198,483,1002,1036,2289,2125,2733
New Zealand,283,287,562,994,2224,2937,1647,1066
Northern Ireland,4,21,53,136,442,1447,2119,5778
Norway,3,18,41,101,527,1434,2123,5753
Panama,56,74,166,434,1015,2169,2347,3739
Paraguay,4,19,56,192,524,1686,2491,5028
Peru,16,32,77,205,635,1858,2512,4665
Philippines,92,141,356,1012,1261,2255,2145,2738
Poland,354,313,545,951,2392,2791,1557,1097
Portugal,1019,408,568,699,1428,3703,1588,587
Puerto Rico,13,16,54,185,667,1720,2434,4911
Romania,6,12,33,98,399,1441,2315,5696
Russian Federation,17,30,103,286,744,1886,2348,4586
Scotland,47,75,139,252,572,1688,2201,5026
Serbia,26,47,150,319,785,2546,2674,3453
Singapore,46,60,105,259,1290,2022,2233,3985
Slovakia,418,325,514,796,2417,2661,1646,1223
Slovenia,17,37,87,246,844,1529,2021,5219
South Africa,4,6,35,115,437,1471,2375,5557
South Korea,32,81,235,656,1206,2620,2446,2724
Spain,55,85,222,493,817,3336,2838,2154
Sweden,187,196,338,615,1205,2326,2208,2925
Switzerland,274,354,733,1398,1123,1994,1896,2228
Thailand,35,55,151,453,825,2155,2443,3883
Turkey,55,82,175,361,916,2732,2704,2975
Ukraine,74,116,269,593,1364,2939,2464,2181
United States,300,289,530,920,1358,3100,2079,1424
Uruguay,39,59,112,268,907,2125,2591,3899
Venezuela,42,61,172,405,973,1487,1898,4962
Wales,29,55,167,338,610,2110,2597,4094
