Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,45,87,187,563,1603,1956,1914,3645
Australia,105,121,285,522,927,1285,1624,5131
Austria,118,154,334,693,1327,3992,2326,1056
Belarus,10,23,84,207,511,1504,2146,5515
Belgium,210,244,481,956,1470,2670,2078,1891
Bolivia,8,31,63,165,630,1690,2353,5060
Brazil,118,174,450,879,915,1206,1534,4724
Bulgaria,9,24,77,217,714,1658,2315,4986
Canada,660,560,899,1572,1320,2611,1421,957
Chile,135,132,270,482,984,2351,2293,3353
China,85,135,323,717,1367,2523,2299,2551
Chinese Taipei,346,283,456,681,910,2323,2237,2764
Colombia,4,16,48,106,438,1499,2270,5619
Costa Rica,39,72,155,367,790,1768,2306,4503
Croatia,68,107,253,581,2383,2210,1944,2454
Cyprus,10,25,38,96,676,1672,2497,4986
Czech Republic,17,46,155,449,749,1441,1953,5190
Denmark,247,281,504,895,1447,2484,2020,2122
Dominican Republic,22,38,86,209,598,2036,2752,4259
Ecuador,36,55,174,364,909,2328,2644,3490
El Salvador,19,22,83,210,548,1861,2573,4684
England,21,39,111,386,1086,3936,2946,1475
Estonia,18,33,115,359,904,2025,2482,4064
Finland,426,316,580,936,1904,2155,1725,1958
France,840,589,886,1250,1151,2710,1515,1059
Germany,353,293,609,1022,1978,2434,1697,1614
Greece,39,77,213,489,954,3110,2834,2284
Guatemala,18,42,118,354,824,1716,2322,4606
Hong Kong,103,131,275,539,1116,3414,2467,1955
Hungary,13,22,55,145,673,1460,2032,5600
Iceland,18,34,79,180,962,2055,2578,4094
Indonesia,64,87,210,441,963,2257,2352,3626
Ireland,40,58,140,353,1054,2041,2304,4010
Israel,17,25,71,207,422,1736,2536,4986
Italy,270,269,613,1106,1703,2360,1817,1862
Japan,696,585,903,1537,1874,1652,1260,1493
Latvia,20,31,97,291,544,2003,2696,4318
Lithuania,54,75,223,527,1174,2956,2545,2446
Luxembourg,62,105,267,652,1690,1884,1894,3446
Macedonia,65,74,191,334,1497,1848,2067,3924
Malaysia,318,279,490,858,1709,2755,1965,1626
Malta,10,29,71,183,495,1496,2111,5605
Mexico,205,208,311,578,1675,2338,2076,2609
Netherlands,375,309,596,1092,1273,2395,1895,2065
New Zealand,443,426,712,1431,2011,2108,1516,1353
Northern Ireland,11,26,88,186,670,1440,1997,5582
Norway,11,28,70,193,583,1814,2394,4907
Panama,37,57,179,444,1073,2234,2382,3594
Paraguay,12,23,58,196,603,1722,2409,4977
Peru,25,43,126,278,737,2172,2535,4084
Philippines,132,133,292,579,1180,2234,2303,3147
Poland,913,521,860,1224,1302,2084,1556,1540
Portugal,395,318,537,954,1267,3407,1971,1151
Puerto Rico,13,27,69,171,712,1494,2112,5402
Romania,11,10,35,120,471,1381,2337,5635
Russian Federation,18,50,108,276,723,1601,2102,5122
Scotland,30,46,129,431,813,2324,2633,3594
Serbia,63,77,168,352,1669,2418,2288,2965
Singapore,32,47,108,366,1471,2090,2290,3596
Slovakia,291,298,657,1136,1450,2171,1861,2136
Slovenia,156,185,286,522,1588,3138,2320,1805
South Africa,5,16,52,109,464,1552,2294,5508
South Korea,33,70,184,418,1402,2003,2230,3660
Spain,54,75,206,558,900,3378,2782,2047
Sweden,102,212,514,1207,983,3646,2076,1260
Switzerland,233,289,579,1129,1819,2591,1736,1624
Thailand,35,30,115,325,569,1706,2329,4891
Turkey,35,54,107,225,853,2014,2524,4188
Ukraine,24,68,128,387,1153,1885,2308,4047
United States,407,361,599,980,1555,3291,1762,1045
Uruguay,55,50,128,249,906,2292,2712,3608
Venezuela,23,28,90,325,737,1725,2277,4795
Wales,45,92,187,479,1495,2281,2349,3072
