Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,172,266,474,1100,941,2574,2336,2137
Australia,137,111,191,335,1146,1956,2117,4007
Austria,362,369,660,1148,1780,2869,1731,1081
Belarus,6,16,49,133,567,1569,2275,5385
Belgium,194,239,502,958,1373,2808,2071,1855
Bolivia,10,14,51,127,522,1635,2378,5263
Brazil,954,612,876,1200,2485,1898,1022,953
Bulgaria,8,14,51,142,583,1576,2333,5293
Canada,461,415,748,1273,2050,1407,1383,2263
Chile,60,83,191,421,994,2445,2435,3371
China,132,166,362,754,1120,2122,2164,3180
Chinese Taipei,312,369,634,1183,1269,2826,1924,1483
Colombia,3,13,31,108,428,1508,2326,5583
Costa Rica,15,30,94,279,529,1872,2370,4811
Croatia,37,114,376,975,1166,3308,2324,1700
Cyprus,13,23,54,134,843,2177,2627,4129
Czech Republic,17,42,141,410,1467,4681,2324,918
Denmark,298,346,700,1288,1332,2902,1831,1303
Dominican Republic,43,47,86,162,601,2099,2834,4128
Ecuador,58,80,169,377,1198,2243,2345,3530
El Salvador,8,26,68,181,720,1999,2506,4492
England,74,140,459,1159,4187,950,945,2086
Estonia,62,88,189,358,767,2360,2488,3688
Finland,154,178,405,760,1423,2634,2144,2302
France,385,410,778,1310,1691,2088,1555,1783
Germany,369,330,649,986,1934,2210,1686,1836
Greece,89,109,260,586,1241,2444,2352,2919
Guatemala,21,48,116,348,633,1641,2098,5095
Hong Kong,129,102,194,294,705,2810,2733,3033
Hungary,4,16,39,119,348,1475,2308,5691
Iceland,18,24,69,147,686,1658,2327,5071
Indonesia,22,51,136,322,996,2392,2577,3504
Ireland,40,60,140,452,1116,2213,2308,3671
Israel,13,21,71,255,660,2458,2840,3682
Italy,265,329,578,1052,2185,2329,1738,1524
Japan,251,327,616,1218,2099,2157,1626,1706
Latvia,7,15,60,180,750,1985,2591,4412
Lithuania,9,21,74,227,804,1855,2355,4655
Luxembourg,95,152,474,1005,2112,2429,1933,1800
Macedonia,13,27,84,315,751,1735,2329,4746
Malaysia,325,296,614,1067,1932,2823,1733,1210
Malta,9,37,76,223,690,1923,2435,4607
Mexico,57,99,252,579,695,1823,2225,4270
Netherlands,204,316,679,1467,1410,2901,1832,1191
New Zealand,323,408,698,1318,2048,2377,1482,1346
Northern Ireland,6,14,44,193,529,1683,2341,5190
Norway,10,13,61,140,567,1649,2333,5227
Panama,49,66,191,452,1043,2323,2332,3544
Paraguay,13,17,55,179,511,1817,2554,4854
Peru,14,48,89,249,693,1889,2428,4590
Philippines,74,106,246,530,1146,2025,2034,3839
Poland,306,331,577,1048,1524,3298,1876,1040
Portugal,1616,688,951,1133,1070,2264,1372,906
Puerto Rico,15,22,72,177,594,1567,2143,5410
Romania,4,11,32,98,423,1455,2263,5714
Russian Federation,21,30,86,188,530,1658,2358,5129
Scotland,29,38,112,287,752,2460,2824,3498
Serbia,42,61,133,285,1359,3621,2721,1778
Singapore,9,26,93,299,285,1525,2290,5473
Slovakia,257,255,498,837,1317,2553,2030,2253
Slovenia,14,23,83,233,830,2642,2796,3379
South Africa,2,15,37,118,468,1600,2462,5298
South Korea,32,41,127,272,885,1768,2322,4553
Spain,32,54,165,377,1053,2613,2630,3076
Sweden,67,133,299,834,1176,1668,1849,3974
Switzerland,177,208,411,895,855,2098,2150,3206
Thailand,31,64,130,454,2007,1994,1963,3357
Turkey,16,53,110,334,844,2134,2415,4094
Ukraine,87,81,164,259,817,1601,2067,4924
United States,737,438,631,878,1490,3639,1547,640
Uruguay,41,54,109,254,787,2119,2651,3985
Venezuela,23,49,110,247,762,1778,2311,4720
Wales,38,62,166,315,706,2415,2642,3656
