Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,81,93,202,399,1525,3453,2735,1512
Australia,243,203,317,589,2101,1168,1369,4010
Austria,112,125,313,679,831,2190,2240,3510
Belarus,7,9,43,127,569,1546,2369,5330
Belgium,169,176,415,867,1380,2536,2072,2385
Bolivia,10,18,58,167,689,1815,2313,4930
Brazil,390,357,580,1056,1673,1259,1446,3239
Bulgaria,10,20,61,149,524,1767,2459,5010
Canada,920,610,962,1487,1202,2643,1292,884
Chile,60,91,210,414,1238,2314,2313,3360
China,102,121,313,646,1254,2485,2224,2855
Chinese Taipei,375,320,459,808,1744,2760,1950,1584
Colombia,4,13,37,138,490,1546,2235,5537
Costa Rica,38,49,93,203,677,2097,2490,4353
Croatia,62,59,101,207,554,2116,2706,4195
Cyprus,10,33,79,223,544,2018,2557,4536
Czech Republic,17,80,247,651,1047,1806,2074,4078
Denmark,275,296,591,1038,949,2739,2002,2110
Dominican Republic,24,59,157,421,1237,2097,2361,3644
Ecuador,45,85,148,313,724,2022,2255,4408
El Salvador,15,22,51,157,610,1877,2613,4655
England,56,123,361,921,259,3504,2681,2095
Estonia,19,41,101,310,724,1844,2217,4744
Finland,73,97,226,482,1210,3044,2453,2415
France,560,602,1136,1874,2791,1531,814,692
Germany,339,336,630,1307,1222,2447,1905,1814
Greece,69,84,193,494,1619,2623,2233,2685
Guatemala,43,71,172,400,880,2041,2310,4083
Hong Kong,56,61,138,262,1072,2483,2466,3462
Hungary,5,13,42,122,409,1413,2215,5781
Iceland,34,69,202,542,1574,2225,2153,3201
Indonesia,36,40,135,385,822,1743,2192,4647
Ireland,31,66,171,436,939,2595,2578,3184
Israel,24,39,115,313,844,2125,2417,4123
Italy,166,184,419,895,1985,2438,1868,2045
Japan,869,691,1204,1883,2023,792,772,1766
Latvia,29,55,125,346,1398,1702,1968,4377
Lithuania,33,74,154,305,718,2069,2458,4189
Luxembourg,75,80,207,394,870,2605,2553,3216
Macedonia,24,27,62,136,599,2011,2525,4616
Malaysia,347,348,694,1249,1758,1964,1614,2026
Malta,11,29,87,332,690,2047,2423,4381
Mexico,451,340,582,915,2091,1531,1419,2671
Netherlands,199,236,397,734,1309,2745,2157,2223
New Zealand,339,341,600,1183,1813,2832,1651,1241
Northern Ireland,15,23,82,209,783,2100,2561,4227
Norway,10,17,71,187,703,1775,2342,4895
Panama,47,82,204,379,1107,2380,2342,3459
Paraguay,7,22,50,184,690,1925,2506,4616
Peru,17,32,73,217,786,1891,2333,4651
Philippines,90,87,164,373,1104,2748,2619,2815
Poland,492,373,638,997,1649,2424,1933,1494
Portugal,772,564,964,1473,898,3183,1430,716
Puerto Rico,9,18,68,221,596,1787,2389,4912
Romania,5,15,31,146,449,1564,2265,5525
Russian Federation,23,50,144,381,1041,2040,2265,4056
Scotland,29,48,121,368,474,1997,2599,4364
Serbia,62,84,142,352,996,3047,2550,2767
Singapore,83,110,251,562,1316,2217,2114,3347
Slovakia,137,202,497,1087,938,2248,2047,2844
Slovenia,21,38,77,151,723,2200,2760,4030
South Africa,4,11,45,107,495,1610,2282,5446
South Korea,46,59,167,377,1171,2059,2242,3879
Spain,57,102,279,574,799,2708,2562,2919
Sweden,65,80,290,635,1850,3445,2196,1439
Switzerland,196,201,359,648,2367,2254,1932,2043
Thailand,26,54,105,315,793,2093,2483,4131
Turkey,31,54,126,328,865,2090,2323,4183
Ukraine,45,68,156,320,750,3140,2929,2592
United States,750,547,892,1354,2516,2329,1065,547
Uruguay,46,63,183,437,1160,1811,2055,4245
Venezuela,34,54,135,343,900,2230,2419,3885
Wales,24,56,96,316,900,2097,2340,4171
