Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,142,188,351,742,2819,1834,1573,2351
Australia,110,123,254,525,1055,2896,2445,2592
Austria,210,261,529,1053,1411,2473,1837,2226
Belarus,8,16,42,117,529,1703,2432,5153
Belgium,171,189,415,785,1486,2636,2018,2300
Bolivia,3,18,55,142,519,1657,2488,5118
Brazil,373,303,575,1035,1375,2087,1926,2326
Bulgaria,3,17,47,135,418,1605,2311,5464
Canada,562,385,623,898,1750,2498,1738,1546
Chile,52,72,230,503,1230,2389,2294,3230
China,142,137,292,576,1976,2419,2012,2446
Chinese Taipei,316,376,630,1281,1450,3060,1717,1170
Colombia,4,7,28,93,392,1483,2276,5717
Costa Rica,29,36,112,298,1085,3074,2716,2650
Croatia,59,89,181,460,1904,2027,1836,3444
Cyprus,12,33,62,248,878,1518,1983,5266
Czech Republic,36,122,249,736,572,2051,2302,3932
Denmark,206,219,448,825,1278,3220,2041,1763
Dominican Republic,12,22,49,134,456,1751,2500,5076
Ecuador,53,51,173,341,665,2153,2425,4139
El Salvador,10,20,67,172,491,1655,2376,5209
England,101,112,217,428,1921,2674,2182,2365
Estonia,52,73,168,406,1504,2391,2301,3105
Finland,84,127,303,694,957,1695,1880,4260
France,484,500,1086,2079,1408,2017,1274,1152
Germany,227,263,563,1098,1002,3211,2080,1556
Greece,63,82,169,317,879,2956,3158,2376
Guatemala,30,53,112,234,603,1838,2389,4741
Hong Kong,237,213,340,536,1590,2507,2136,2441
Hungary,19,33,118,305,804,1488,2036,5197
Iceland,16,45,121,432,1819,2703,2349,2515
Indonesia,27,34,117,294,758,2248,2599,3923
Ireland,38,66,177,422,849,2027,2364,4057
Israel,10,21,67,189,500,2066,2692,4455
Italy,285,215,453,775,1146,2652,2135,2339
Japan,708,668,1285,2040,1959,2286,722,332
Latvia,35,67,152,343,895,2264,2378,3866
Lithuania,31,31,93,243,738,1876,2246,4742
Luxembourg,54,61,156,266,1062,1808,2073,4520
Macedonia,29,45,127,298,850,2137,2387,4127
Malaysia,413,361,663,1254,1309,2558,1846,1596
Malta,5,15,42,159,496,1822,2706,4755
Mexico,210,275,583,1249,2126,1968,1595,1994
Netherlands,236,247,481,941,1210,2399,1969,2517
New Zealand,409,388,636,1264,1985,2366,1529,1423
Northern Ireland,11,15,74,200,498,1832,2457,4913
Norway,10,18,39,111,402,1530,2332,5558
Panama,36,59,163,364,1023,2245,2397,3713
Paraguay,13,18,57,157,506,1876,2573,4800
Peru,14,24,66,136,468,1754,2408,5130
Philippines,52,60,162,391,1042,2518,2487,3288
Poland,426,380,616,1177,2277,2359,1457,1308
Portugal,287,269,455,748,1940,1728,1652,2921
Puerto Rico,13,21,45,135,492,1982,2724,4588
Romania,5,18,29,93,434,1388,2143,5890
Russian Federation,19,41,103,245,914,2232,2516,3930
Scotland,14,27,78,148,697,2165,2603,4268
Serbia,81,78,188,340,1187,2249,2374,3503
Singapore,25,50,112,357,356,2254,2641,4205
Slovakia,262,280,444,779,2200,2785,1744,1506
Slovenia,82,124,281,644,1621,1245,1497,4506
South Africa,7,7,34,94,364,1493,2394,5607
South Korea,55,68,185,409,1107,2237,2412,3527
Spain,66,95,214,529,1580,2883,2447,2186
Sweden,812,537,839,1262,985,2514,1631,1420
Switzerland,274,333,747,1494,1453,2347,1664,1688
Thailand,11,61,124,334,773,1855,2301,4541
Turkey,30,37,95,185,732,1803,2299,4819
Ukraine,18,37,131,305,713,2748,2979,3069
United States,946,509,710,1102,1324,2051,1676,1682
Uruguay,64,70,209,426,808,2582,2601,3240
Venezuela,9,24,62,244,546,2328,2804,3983
Wales,42,61,97,226,1449,2871,2515,2739
