Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,66,90,148,308,1119,1546,1889,4834
Australia,213,189,353,577,1473,1850,1916,3429
Austria,382,251,391,595,1701,2089,1924,2667
Belarus,10,15,55,132,580,1701,2343,5164
Belgium,213,249,458,962,1653,2414,1909,2142
Bolivia,9,18,53,143,423,1810,2553,4991
Brazil,61,136,432,1228,1116,1701,1730,3596
Bulgaria,13,22,49,185,538,1699,2250,5244
Canada,728,596,993,1670,1181,2156,1378,1298
Chile,70,115,214,527,1148,2490,2338,3098
China,149,176,347,639,1442,2574,2254,2419
Chinese Taipei,215,259,476,1039,867,2198,2022,2924
Colombia,4,15,50,106,440,1525,2284,5576
Costa Rica,34,55,109,208,992,1877,2209,4516
Croatia,72,114,273,569,1274,1635,1846,4217
Cyprus,4,22,44,118,610,2424,3054,3724
Czech Republic,128,72,122,185,982,1371,1773,5367
Denmark,237,219,415,773,2460,2938,1660,1298
Dominican Republic,29,34,64,148,656,1670,2175,5224
Ecuador,63,88,236,519,951,2213,2350,3580
El Salvador,10,40,103,261,789,2002,2330,4465
England,91,83,179,352,655,2322,2761,3557
Estonia,20,41,75,181,722,2071,2438,4452
Finland,191,252,483,909,1283,2697,2008,2177
France,592,360,563,837,1331,3132,1841,1344
Germany,504,457,759,1333,1083,2643,1692,1529
Greece,76,116,243,494,1063,1875,2150,3983
Guatemala,26,50,74,207,661,2515,2840,3627
Hong Kong,118,133,282,573,1096,2138,2101,3559
Hungary,4,14,33,120,484,1849,2640,4856
Iceland,16,34,96,330,901,2166,2360,4097
Indonesia,54,59,173,413,1017,1965,2197,4122
Ireland,56,82,192,438,1139,2327,2267,3499
Israel,12,24,74,159,446,1701,2615,4969
Italy,259,300,590,1031,2066,2783,1706,1265
Japan,854,741,1309,2194,1918,781,753,1450
Latvia,48,67,160,332,839,2742,2725,3087
Lithuania,25,31,98,227,686,1881,2296,4756
Luxembourg,55,85,216,513,1330,1974,2029,3798
Macedonia,18,35,111,358,468,2243,2960,3807
Malaysia,356,315,656,1135,1570,2351,1762,1855
Malta,8,18,57,144,465,1680,2491,5137
Mexico,109,164,451,1372,1253,2622,1971,2058
Netherlands,274,270,529,937,742,3056,2241,1951
New Zealand,249,203,511,822,2675,3032,1515,993
Northern Ireland,18,25,88,215,839,2078,2459,4278
Norway,6,20,54,211,482,1567,2198,5462
Panama,43,77,165,357,978,2320,2416,3644
Paraguay,9,22,69,184,788,1823,2284,4821
Peru,24,42,102,246,666,2058,2579,4283
Philippines,131,179,381,820,1288,2225,2148,2828
Poland,224,287,562,1124,1779,3377,1687,960
Portugal,579,393,635,1010,1048,3218,1917,1200
Puerto Rico,5,17,62,169,575,1603,2249,5320
Romania,2,12,30,107,401,1550,2384,5514
Russian Federation,30,37,101,263,729,2185,2607,4048
Scotland,35,50,116,274,831,2572,2758,3364
Serbia,73,102,262,649,1719,2143,2199,2853
Singapore,58,75,148,303,1329,2454,2606,3027
Slovakia,134,176,395,854,2586,3367,1586,902
Slovenia,53,59,107,165,874,2704,2796,3242
South Africa,2,9,34,139,437,1525,2411,5443
South Korea,65,85,220,513,1011,2672,2563,2871
Spain,207,153,304,512,1150,2353,2269,3052
Sweden,198,309,662,1590,1516,1637,1526,2562
Switzerland,461,303,556,864,2000,1930,1699,2187
Thailand,32,44,111,331,1260,2274,2455,3493
Turkey,46,75,137,312,815,2231,2503,3881
Ukraine,35,50,88,239,992,2830,2760,3006
United States,619,443,746,1133,1635,1678,1590,2156
Uruguay,58,66,157,350,977,2598,2533,3261
Venezuela,80,112,218,397,2087,2693,2085,2328
Wales,48,69,191,366,920,1906,2187,4313
