Team,FIRST,SECOND,Top4,Top8,Top16,Top32,Top48,NotTop48
Argentina,92,102,238,492,1635,2603,2236,2602
Australia,202,194,419,698,1306,3717,2177,1287
Austria,155,193,416,872,1602,2106,1898,2758
Belarus,3,11,45,152,481,1771,2405,5132
Belgium,251,238,433,809,1394,2734,2040,2101
Bolivia,13,18,54,152,682,1811,2482,4788
Brazil,117,85,142,233,819,3531,2830,2243
Bulgaria,5,23,61,155,475,1675,2442,5164
Canada,380,391,727,1247,1392,2631,1736,1496
Chile,73,127,307,673,1209,2739,2209,2663
China,173,195,431,882,997,2673,2103,2546
Chinese Taipei,175,230,461,967,1337,2404,1931,2495
Colombia,8,10,39,131,443,1473,2274,5622
Costa Rica,41,69,137,294,631,2272,2812,3744
Croatia,64,89,258,540,1290,1529,1829,4401
Cyprus,2,14,38,123,408,1588,2583,5244
Czech Republic,95,114,259,534,872,3631,2793,1702
Denmark,194,247,454,917,1292,2483,2176,2237
Dominican Republic,29,61,150,458,1099,2254,2282,3667
Ecuador,72,92,249,528,1311,2596,2244,2908
El Salvador,13,36,89,269,662,1900,2341,4690
England,130,95,155,226,1265,1993,2225,3911
Estonia,68,89,220,380,1081,2851,2624,2687
Finland,108,93,215,347,1008,2772,2676,2781
France,783,658,1230,1831,1085,1974,1310,1129
Germany,607,482,856,1361,2008,2167,1369,1150
Greece,117,177,386,837,1670,1937,1970,2906
Guatemala,31,58,160,435,754,2791,2777,2994
Hong Kong,126,247,589,1515,2048,1958,1515,2002
Hungary,15,30,95,238,407,1431,2281,5503
Iceland,56,78,141,304,1287,1920,2182,4032
Indonesia,50,94,200,385,916,2342,2459,3554
Ireland,45,48,143,330,937,2328,2527,3642
Israel,21,41,98,266,986,2317,2712,3559
Italy,302,256,493,827,1713,2892,1918,1599
Japan,1250,522,715,961,1698,2700,1336,818
Latvia,30,46,101,255,667,1596,2049,5256
Lithuania,13,33,83,191,470,1942,2551,4717
Luxembourg,66,148,340,874,1182,1793,1897,3700
Macedonia,10,28,65,214,644,1464,2022,5553
Malaysia,258,312,561,1089,1290,2777,1856,1857
Malta,7,19,65,173,593,2383,2952,3808
Mexico,255,250,520,849,2400,2483,1658,1585
Netherlands,411,291,435,688,1497,2285,2048,2345
New Zealand,366,377,688,1209,1117,2649,1926,1668
Northern Ireland,11,25,75,183,578,1610,2183,5335
Norway,8,23,60,135,508,1893,2593,4780
Panama,45,61,160,402,934,2295,2432,3671
Paraguay,10,24,59,171,508,1815,2402,5011
Peru,10,25,74,211,493,1530,2333,5324
Philippines,56,86,216,420,1160,2478,2487,3097
Poland,240,232,517,1111,2846,1773,1509,1772
Portugal,696,499,764,1206,1532,2506,1510,1287
Puerto Rico,8,21,60,162,462,1701,2435,5151
Romania,9,24,38,136,403,1440,2144,5806
Russian Federation,25,35,102,300,829,1903,2350,4456
Scotland,7,19,65,205,764,1606,2101,5233
Serbia,36,114,252,730,510,1942,2191,4225
Singapore,87,114,236,498,490,1603,1901,5071
Slovakia,190,147,294,555,1148,2067,2125,3474
Slovenia,12,19,72,164,566,1758,2480,4929
South Africa,10,16,35,131,438,1516,2451,5403
South Korea,95,117,232,415,1003,1657,1935,4546
Spain,87,109,194,328,898,2272,2594,3518
Sweden,179,194,375,772,1842,2510,2013,2115
Switzerland,260,255,498,989,2968,2303,1402,1325
Thailand,23,45,124,382,883,2091,2316,4136
Turkey,56,73,163,427,1260,2274,2304,3443
Ukraine,36,78,195,594,502,2998,2773,2824
United States,435,490,816,1492,3146,1776,1042,803
Uruguay,26,42,94,265,941,1967,2312,4353
Venezuela,34,57,151,366,1444,1941,2142,3865
Wales,27,45,118,339,884,2909,2877,2801
